zip_code,case_count,report_date
85007,490,2020-07-07
85008,1727,2020-07-07
85009,1740,2020-07-07
85012,217,2020-07-07
85013,385,2020-07-07
85014,720,2020-07-07
85015,1011,2020-07-07
85016,943,2020-07-07
85017,959,2020-07-07
85018,883,2020-07-07
85019,793,2020-07-07
85020,513,2020-07-07
85021,808,2020-07-07
85022,552,2020-07-07
85023,411,2020-07-07
85024,285,2020-07-07
85027,407,2020-07-07
85028,184,2020-07-07
85029,765,2020-07-07
85031,1006,2020-07-07
85032,991,2020-07-07
85033,1798,2020-07-07
85034,187,2020-07-07
85035,1634,2020-07-07
85037,1365,2020-07-07
85040,775,2020-07-07
85041,1632,2020-07-07
85042,967,2020-07-07
85043,913,2020-07-07
85044,402,2020-07-07
85045,53,2020-07-07
85048,346,2020-07-07
85050,316,2020-07-07
85051,884,2020-07-07
85053,377,2020-07-07
85054,105,2020-07-07
85083,231,2020-07-07
85085,231,2020-07-07
85086,320,2020-07-07
85087,59,2020-07-07
85118,67,2020-07-07
85119,142,2020-07-07
85120,232,2020-07-07
85121,0,2020-07-07
85122,891,2020-07-07
85123,159,2020-07-07
85128,279,2020-07-07
85131,567,2020-07-07
85132,488,2020-07-07
85137,20,2020-07-07
85138,384,2020-07-07
85139,159,2020-07-07
85140,310,2020-07-07
85142,535,2020-07-07
85143,304,2020-07-07
85145,13,2020-07-07
85147,0,2020-07-07
85172,24,2020-07-07
85173,51,2020-07-07
85190,0,2020-07-07
85192,16,2020-07-07
85193,69,2020-07-07
85194,60,2020-07-07
85201,729,2020-07-07
85202,741,2020-07-07
85203,470,2020-07-07
85204,952,2020-07-07
85205,378,2020-07-07
85206,792,2020-07-07
85207,339,2020-07-07
85208,296,2020-07-07
85209,475,2020-07-07
85210,650,2020-07-07
85212,365,2020-07-07
85213,300,2020-07-07
85215,118,2020-07-07
85224,732,2020-07-07
85225,1123,2020-07-07
85226,364,2020-07-07
85233,434,2020-07-07
85234,502,2020-07-07
85248,487,2020-07-07
